kernel_id,kernel_repr,penalty,seed,n_train,n_test,r2,mae,rmse,fit_time_s
k00,1**2 * RBF(length_scale=1),10.0,101,630,270,0.9249772618243137,1.4593897208433035,1.9994455893315175,0.5513602079881821
k01,1**2 * RBF(length_scale=1) + RBF(length_scale=0.3),10.0,101,630,270,0.9276286923946193,1.4360363778011875,1.9637958798283173,1.4393448749906383
k02,1**2 * RBF(length_scale=1) * RBF(length_scale=0.5),10.0,101,630,270,0.9249772618940894,1.4593897153708835,1.9994455884017162,1.1802148749993648
k03,"1**2 * Matern(length_scale=1, nu=0.5)",10.0,101,630,270,0.8773564134612082,1.7384891643982854,2.556439715675061,0.7823068330180831
k04,"1**2 * Matern(length_scale=1, nu=1.5)",10.0,101,630,270,0.9234087064540308,1.4178632539627123,2.020239400861671,0.7812770000018645
k05,"1**2 * Matern(length_scale=1, nu=2.5)",10.0,101,630,270,0.9277482248840686,1.4226718808518946,1.9621734522079366,0.9395500410173554
k06,"1**2 * Matern(length_scale=1, nu=1.5) + Matern(length_scale=0.3, nu=2.5)",10.0,101,630,270,0.9279097293910071,1.4181994858591698,1.9599792006112897,1.698823375016218
k07,"1**2 * RationalQuadratic(alpha=1, length_scale=1)",10.0,101,630,270,0.9297553982267817,1.4126970674754464,1.9347266420680158,1.625383790989872
k08,"1**2 * RationalQuadratic(alpha=0.1, length_scale=1)",10.0,101,630,270,0.9297553982267817,1.4126970674754464,1.9347266420680158,1.598620624979958
k09,"1**2 * RationalQuadratic(alpha=10, length_scale=1)",10.0,101,630,270,0.9297553982267817,1.4126970674754464,1.9347266420680158,1.6559448750049341
k10,1**2 * DotProduct(sigma_0=1) + RBF(length_scale=1),10.0,101,630,270,0.9318147009185482,1.3850182692368667,1.9061563036406977,2.0184549579862505
k11,"1**2 * DotProduct(sigma_0=1) + Matern(length_scale=1, nu=1.5)",10.0,101,630,270,0.9227955641965253,1.4107680483024354,2.028309671707737,1.8805041669984348
k12,1**2 * DotProduct(sigma_0=0.1) + RBF(length_scale=1),10.0,101,630,270,0.9318147218437587,1.3850180731755322,1.9061560111529818,2.133972209005151
k13,1**2 * DotProduct(sigma_0=1),10.0,101,630,270,0.4666393507511467,4.0644810134310525,5.331183363536216,1.6031227500061505
k14,"1**2 * ExpSineSquared(length_scale=1, periodicity=1)",10.0,101,630,270,-0.005108538006835417,5.8272988540933595,7.318458522978282,0.44033312497776933
k15,"1**2 * RBF(length_scale=1) * ExpSineSquared(length_scale=1, periodicity=1)",10.0,101,630,270,0.9267168244285757,1.4457514286005082,1.9761289242444455,1.1608623749925755
k16,"1**2 * Matern(length_scale=1, nu=1.5) * ExpSineSquared(length_scale=1, periodicity=1)",10.0,101,630,270,0.9246407144402837,1.409294545539126,2.003925265965001,1.2983816250052769
k17,1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1e-12),10.0,101,630,270,0.9249776521795902,1.4593856678081838,1.999440387607547,0.9783534169837367
k18,"1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=1e-12)",10.0,101,630,270,0.927748246213269,1.4226716341331196,1.9621731625846448,1.195956416981062
k19,"1**2 * RationalQuadratic(alpha=1, length_scale=1) + WhiteKernel(noise_level=1e-12)",10.0,101,630,270,0.9297554089464142,1.4126969283278503,1.9347264944441505,1.8073671250022016
k20,"1**2 * Matern(length_scale=1, nu=2.5)",10.0,101,630,270,0.9277482199763765,1.422671937293242,1.9621735188481202,0.7161072499875445
k00,1**2 * RBF(length_scale=1),1000000.0,101,630,270,0.9029550790150765,137550.55922752075,189687.46018535286,0.7760528749786317
k01,1**2 * RBF(length_scale=1) + RBF(length_scale=0.3),1000000.0,101,630,270,0.9071062185245433,133283.58355852112,185586.1393080219,1.5485325000190642
k02,1**2 * RBF(length_scale=1) * RBF(length_scale=0.5),1000000.0,101,630,270,0.9029550768635833,137550.5601006674,189687.4622880455,1.1462546669936273
k03,"1**2 * Matern(length_scale=1, nu=0.5)",1000000.0,101,630,270,0.8467938654804217,158367.45929788533,238336.3553575422,0.7590770420210902
k04,"1**2 * Matern(length_scale=1, nu=1.5)",1000000.0,101,630,270,0.897663636399032,136024.66354189615,194790.24624524201,0.955991750000976
k05,"1**2 * Matern(length_scale=1, nu=2.5)",1000000.0,101,630,270,0.9051186671790922,134711.50984942866,187561.02807730297,0.7998991670028772
k06,"1**2 * Matern(length_scale=1, nu=1.5) + Matern(length_scale=0.3, nu=2.5)",1000000.0,101,630,270,0.905201147268724,134466.04536973988,187479.4872018341,1.8231262079789303
k07,"1**2 * RationalQuadratic(alpha=1, length_scale=1)",1000000.0,101,630,270,0.9091938045035448,131796.33471682746,183488.96731196978,1.6427437500096858
k08,"1**2 * RationalQuadratic(alpha=0.1, length_scale=1)",1000000.0,101,630,270,0.9091938045035448,131796.33471682746,183488.96731196978,1.5662148330011405
k09,"1**2 * RationalQuadratic(alpha=10, length_scale=1)",1000000.0,101,630,270,0.9091938045035448,131796.33471682746,183488.96731196978,1.628212874988094
k10,1**2 * DotProduct(sigma_0=1) + RBF(length_scale=1),1000000.0,101,630,270,0.9098693968635928,130502.86862432945,182805.1198271021,1.5424290419905446
k11,"1**2 * DotProduct(sigma_0=1) + Matern(length_scale=1, nu=1.5)",1000000.0,101,630,270,0.896732339101256,134727.37132890194,195674.56914101844,2.3188418339996133
k12,1**2 * DotProduct(sigma_0=0.1) + RBF(length_scale=1),1000000.0,101,630,270,0.9098693968635928,130502.86862432945,182805.1198271021,1.9621243750152644
k13,1**2 * DotProduct(sigma_0=1),1000000.0,101,630,270,0.5298190432732377,307922.54713851056,417527.16235002526,1.3262236249865964
k14,"1**2 * ExpSineSquared(length_scale=1, periodicity=1)",1000000.0,101,630,270,-0.0043673490342046595,441530.92990789504,610236.9617672164,0.4896808749763295
k15,"1**2 * RBF(length_scale=1) * ExpSineSquared(length_scale=1, periodicity=1)",1000000.0,101,630,270,0.9034509492803802,137377.883169274,189202.2166855283,1.1997094159887638
k16,"1**2 * Matern(length_scale=1, nu=1.5) * ExpSineSquared(length_scale=1, periodicity=1)",1000000.0,101,630,270,0.9075150141236976,131660.4199215627,185177.33666106578,1.7980813340109307
k17,1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1e-12),1000000.0,101,630,270,0.9029551722564643,137550.48945054744,189687.36905886166,0.9435323330108076
k18,"1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=1e-12)",1000000.0,101,630,270,0.9051186671737965,134711.50985388845,187561.02808253712,1.203495792025933
k19,"1**2 * RationalQuadratic(alpha=1, length_scale=1) + WhiteKernel(noise_level=1e-12)",1000000.0,101,630,270,0.9091936985233994,131796.41686068696,183489.07438716246,1.5628062920004595
k20,"1**2 * Matern(length_scale=1, nu=2.5)",1000000.0,101,630,270,0.9051186642085282,134711.50773944656,187561.03101340227,0.8215741249732673
k00,1**2 * RBF(length_scale=1),10.0,102,630,270,0.9173549629235697,1.5447597043249213,2.065640037004652,0.5433017089962959
k01,1**2 * RBF(length_scale=1) + RBF(length_scale=0.3),10.0,102,630,270,0.9209941705874104,1.5196883545871798,2.019648640754687,1.5532643750193529
k02,1**2 * RBF(length_scale=1) * RBF(length_scale=0.5),10.0,102,630,270,0.9173549842043982,1.5447595409403772,2.0656397710568366,1.2229832500161137
k03,"1**2 * Matern(length_scale=1, nu=0.5)",10.0,102,630,270,0.8475549722310592,1.9416350812620353,2.8054522751284794,0.7641543749778066
k04,"1**2 * Matern(length_scale=1, nu=1.5)",10.0,102,630,270,0.9134142384838564,1.5705049647699558,2.1143140398755955,0.9141086250019725
k05,"1**2 * Matern(length_scale=1, nu=2.5)",10.0,102,630,270,0.9217630419961693,1.522546111513579,2.009797173957175,0.9835495830047876
k06,"1**2 * Matern(length_scale=1, nu=1.5) + Matern(length_scale=0.3, nu=2.5)",10.0,102,630,270,0.9214174080587105,1.5219568352740258,2.01423170599031,2.0641622089897282
k07,"1**2 * RationalQuadratic(alpha=1, length_scale=1)",10.0,102,630,270,0.9239358585812841,1.4981572176166966,1.9816923688348775,2.0138261250103824
k08,"1**2 * RationalQuadratic(alpha=0.1, length_scale=1)",10.0,102,630,270,0.9239358585812841,1.4981572176166966,1.9816923688348775,1.6429535829811357
k09,"1**2 * RationalQuadratic(alpha=10, length_scale=1)",10.0,102,630,270,0.9239358585812841,1.4981572176166966,1.9816923688348775,1.9893180829822086
k10,1**2 * DotProduct(sigma_0=1) + RBF(length_scale=1),10.0,102,630,270,0.9251752544026726,1.488688124573841,1.9654811257417162,2.2004319580155425
k11,"1**2 * DotProduct(sigma_0=1) + Matern(length_scale=1, nu=1.5)",10.0,102,630,270,0.9116530170528871,1.5758523969352298,2.1357091814662885,2.8846119579975493
k12,1**2 * DotProduct(sigma_0=0.1) + RBF(length_scale=1),10.0,102,630,270,0.9251752544026726,1.488688124573841,1.9654811257417162,2.3962879169848748
k13,1**2 * DotProduct(sigma_0=1),10.0,102,630,270,0.36059217930007215,4.296537843566645,5.745597848937482,1.2978472499817144
k14,"1**2 * ExpSineSquared(length_scale=1, periodicity=1)",10.0,102,630,270,-0.007591710806015506,5.506863390907168,7.212545173666421,0.5486919580143876
k15,"1**2 * RBF(length_scale=1) * ExpSineSquared(length_scale=1, periodicity=1)",10.0,102,630,270,0.9173550078480347,1.5447593659415155,2.0656394755808245,1.3178272910008673
k16,"1**2 * Matern(length_scale=1, nu=1.5) * ExpSineSquared(length_scale=1, periodicity=1)",10.0,102,630,270,0.9134808720640838,1.5704721313157373,2.1135003297045274,1.404039165994618
