Kernel,Penalidade,Divisão,Treino,Test,R2_test,MAE_test,RMSE_test
gpr_com_kernel_k06,1e+01,90/10,900,100,0.9952973375569069,1.7686354044132924,2.4059718749417214
gpr_com_kernel_k18,1e+01,90/10,900,100,0.995542907988769,1.7813294692536261,2.3423103799374947
gpr_com_kernel_k05,1e+01,90/10,900,100,0.9955429070649967,1.7813296415798385,2.342310622669908
gpr_com_kernel_k06,1e+01,80/20,800,200,0.9936739482006466,1.9003753333286855,2.634915744184207
gpr_com_kernel_k05,1e+01,80/20,800,200,0.9937244118023654,1.9521867150292878,2.6243851968864615
gpr_com_kernel_k18,1e+01,80/20,800,200,0.9937244114463222,1.9521867585321686,2.6243852713332263
gpr_com_kernel_k04,1e+01,90/10,900,100,0.9938147906041677,1.9774068347417495,2.7592804673164197
gpr_com_kernel_k11,1e+01,90/10,900,100,0.9936992000352796,1.988367914362838,2.78494414375108
gpr_com_kernel_k07,1e+01,90/10,900,100,0.9946382869254511,1.9925064818420322,2.569037406853029
gpr_com_kernel_k08,1e+01,90/10,900,100,0.9946382869254511,1.9925064818420322,2.569037406853029
gpr_com_kernel_k09,1e+01,90/10,900,100,0.9946382869254511,1.9925064818420322,2.569037406853029
gpr_com_kernel_k19,1e+01,90/10,900,100,0.9946382654527259,1.9925092725908222,2.5690425511211137
gpr_com_kernel_k06,1e+01,60/40,600,400,0.9923431474761079,2.0523850239452965,2.8330665775010657
gpr_com_kernel_k04,1e+01,80/20,800,200,0.9919400845289909,2.0870509959260857,2.974168736794445
gpr_com_kernel_k16,1e+01,80/20,800,200,0.9919397610382317,2.087130864787112,2.9742284214432737
gpr_com_kernel_k11,1e+01,80/20,800,200,0.9917611292221882,2.104629824164629,3.007005387788492
gpr_com_kernel_k18,1e+01,60/40,600,400,0.9920575427478803,2.1062605657934377,2.8854202971710747
gpr_com_kernel_k05,1e+01,60/40,600,400,0.9920575409790153,2.1062608000674294,2.88542061847709
gpr_com_kernel_k19,1e+01,80/20,800,200,0.9922849870185383,2.179212000791737,2.9098371967146983
gpr_com_kernel_k07,1e+01,80/20,800,200,0.9922849868093062,2.179212127861193,2.9098372361722684
