Kernel,Penalidade,Divisão,Treino,Test,R2_test,MAE_test,RMSE_test
gpr_com_kernel_k06,1e+01,70/30,700,300,0.9927896684742302,1.9552488004854975,2.777135694384522
gpr_com_kernel_k05,1e+01,70/30,700,300,0.9926414928091751,2.0272605127507943,2.8055262909924186
gpr_com_kernel_k18,1e+01,70/30,700,300,0.9926414922092256,2.027260564913678,2.805526405361679
gpr_com_kernel_k09,1e+01,70/30,700,300,0.9909231503468925,2.291548187060276,3.1159254223143393
gpr_com_kernel_k19,1e+01,70/30,700,300,0.9909231493376081,2.291548190936803,3.115925595549279
gpr_com_kernel_k07,1e+01,70/30,700,300,0.9909231482641301,2.291548320850495,3.1159257798024655
gpr_com_kernel_k08,1e+01,70/30,700,300,0.9909231482641301,2.291548320850495,3.1159257798024655
gpr_com_kernel_k04,1e+01,70/30,700,300,0.9908964142529463,2.1860340815241797,3.1205110672219805
gpr_com_kernel_k16,1e+01,70/30,700,300,0.9908964142453107,2.1860340828720357,3.1205110685306487
gpr_com_kernel_k11,1e+01,70/30,700,300,0.9906683216845181,2.2132169701096314,3.1593618032369415
gpr_com_kernel_k01,1e+01,70/30,700,300,0.9879338017003071,2.635104182087496,3.592565647224143
gpr_com_kernel_k12,1e+01,70/30,700,300,0.9864990690295806,2.763292225881245,3.800155271805966
gpr_com_kernel_k10,1e+01,70/30,700,300,0.9864990690295806,2.763292225881245,3.800155271805966
gpr_com_kernel_k02,1e+01,70/30,700,300,0.986421235463476,2.78685614027084,3.8110935754449082
gpr_com_kernel_k00,1e+01,70/30,700,300,0.9864212354301352,2.7868561423749276,3.8110935801237336
gpr_com_kernel_k17,1e+01,70/30,700,300,0.9864212353735468,2.7868561457982026,3.8110935880649484
gpr_com_kernel_k03,1e+01,70/30,700,300,0.9706579074965953,3.656891622479766,5.602282755733548
gpr_com_kernel_k13,1e+01,70/30,700,300,0.7537012776595966,12.363388010497854,16.231197530969165
gpr_com_kernel_k04,1e+06,70/30,700,300,0.6939903628645847,187840.15064964842,269667.5830403124
gpr_com_kernel_k06,1e+06,70/30,700,300,0.6921204853796578,187760.57898099697,270490.23259977595
gpr_com_kernel_k16,1e+06,70/30,700,300,0.6909049122196511,188377.1134496932,271023.6827754644
gpr_com_kernel_k11,1e+06,70/30,700,300,0.6862256995467663,188071.47147128268,273067.4129050822
gpr_com_kernel_k18,1e+06,70/30,700,300,0.6791965628999675,193031.61668164536,276109.0852150891
gpr_com_kernel_k05,1e+06,70/30,700,300,0.6791965568575659,193031.61695225473,276109.08781537606
gpr_com_kernel_k19,1e+06,70/30,700,300,0.6732088701769343,190161.00858837584,278673.91613630945
gpr_com_kernel_k09,1e+06,70/30,700,300,0.6732086879092505,190161.01431755687,278673.9938514577
gpr_com_kernel_k07,1e+06,70/30,700,300,0.6732086879092505,190161.01431755687,278673.9938514577
gpr_com_kernel_k08,1e+06,70/30,700,300,0.6732086879092505,190161.01431755687,278673.9938514577
gpr_com_kernel_k03,1e+06,70/30,700,300,0.63740361707019,197671.6399273622,293543.8084540118
gpr_com_kernel_k01,1e+06,70/30,700,300,0.6371194962733037,199984.4046863992,293658.792459961
gpr_com_kernel_k12,1e+06,70/30,700,300,0.6285739087354489,209502.19122473494,297096.4036826892
gpr_com_kernel_k10,1e+06,70/30,700,300,0.6285737526605468,209502.1781435969,297096.4661033004
gpr_com_kernel_k17,1e+06,70/30,700,300,0.6018774684060582,213869.45301570694,307588.1282096019
gpr_com_kernel_k00,1e+06,70/30,700,300,0.6018774684046306,213869.45301577164,307588.1282101534
gpr_com_kernel_k02,1e+06,70/30,700,300,0.6018774683762478,213869.4530044064,307588.1282211176
gpr_com_kernel_k15,1e+01,70/30,700,300,0.5504383245063029,16.223508677540238,21.928762510835835
gpr_com_kernel_k15,1e+06,70/30,700,300,0.27389640505670054,277291.5460668025,415394.2534522579
gpr_com_kernel_k14,1e+01,70/30,700,300,-0.00029593488558066205,26.779750474241983,32.71024036944776
gpr_com_kernel_k14,1e+06,70/30,700,300,-0.0030438217059267636,335470.00958400517,488226.2706202788
gpr_com_kernel_k13,1e+06,70/30,700,300,-0.1749720507718855,401302.44751952955,528414.7827705035
